avg_temp,year
8.72,1750
7.98,1751
5.78,1752
8.39,1753
8.47,1754
8.36,1755
8.85,1756
9.02,1757
6.74,1758
7.99,1759
7.19,1760
8.77,1761
8.61,1762
7.50,1763
8.40,1764
8.25,1765
8.41,1766
8.22,1767
6.78,1768
7.69,1769
7.69,1770
7.85,1771
8.19,1772
8.22,1773
8.77,1774
9.18,1775
8.30,1776
8.26,1777
8.54,1778
8.98,1779
9.43,1780
8.10,1781
7.90,1782
7.68,1783
7.86,1784
7.36,1785
8.26,1786
8.03,1787
8.45,1788
8.33,1789
7.98,1790
8.23,1791
8.09,1792
8.23,1793
8.53,1794
8.35,1795
8.27,1796
8.51,1797
8.67,1798
8.51,1799
8.48,1800
8.59,1801
8.58,1802
8.50,1803
8.84,1804
8.56,1805
8.43,1806
8.28,1807
7.63,1808
7.08,1809
6.92,1810
6.86,1811
7.05,1812
7.74,1813
7.59,1814
7.24,1815
6.94,1816
6.98,1817
7.83,1818
7.37,1819
7.62,1820
8.09,1821
8.19,1822
7.72,1823
8.55,1824
8.39,1825
8.36,1826
8.81,1827
8.17,1828
7.94,1829
8.52,1830
7.64,1831
7.45,1832
8.01,1833
8.15,1834
7.39,1835
7.70,1836
7.38,1837
7.51,1838
7.63,1839
7.80,1840
7.69,1841
8.02,1842
8.17,1843
7.65,1844
7.85,1845
8.55,1846
8.09,1847
7.98,1848
7.98,1849
7.90,1850
8.18,1851
8.10,1852
8.04,1853
8.21,1854
8.11,1855
8.00,1856
7.76,1857
8.10,1858
8.25,1859
7.96,1860
7.85,1861
7.56,1862
8.11,1863
7.98,1864
8.18,1865
8.29,1866
8.44,1867
8.25,1868
8.43,1869
8.20,1870
8.12,1871
8.19,1872
8.35,1873
8.43,1874
7.86,1875
8.08,1876
8.54,1877
8.83,1878
8.17,1879
8.12,1880
8.27,1881
8.13,1882
7.98,1883
7.77,1884
7.92,1885
7.95,1886
7.91,1887
8.09,1888
8.32,1889
7.97,1890
8.02,1891
8.07,1892
8.06,1893
8.16,1894
8.15,1895
8.21,1896
8.29,1897
8.18,1898
8.40,1899
8.50,1900
8.54,1901
8.30,1902
8.22,1903
8.09,1904
8.23,1905
8.38,1906
7.95,1907
8.19,1908
8.18,1909
8.22,1910
8.18,1911
8.17,1912
8.30,1913
8.59,1914
8.59,1915
8.23,1916
8.02,1917
8.13,1918
8.38,1919
8.36,1920
8.57,1921
8.41,1922
8.42,1923
8.51,1924
8.53,1925
8.73,1926
8.52,1927
8.63,1928
8.24,1929
8.63,1930
8.72,1931
8.71,1932
8.34,1933
8.63,1934
8.52,1935
8.55,1936
8.70,1937
8.86,1938
8.76,1939
8.76,1940
8.77,1941
8.73,1942
8.76,1943
8.85,1944
8.58,1945
8.68,1946
8.80,1947
8.75,1948
8.59,1949
8.37,1950
8.63,1951
8.64,1952
8.87,1953
8.56,1954
8.63,1955
8.28,1956
8.73,1957
8.77,1958
8.73,1959
8.58,1960
8.80,1961
8.75,1962
8.86,1963
8.41,1964
8.53,1965
8.60,1966
8.70,1967
8.52,1968
8.60,1969
8.70,1970
8.60,1971
8.50,1972
8.95,1973
8.47,1974
8.74,1975
8.35,1976
8.85,1977
8.69,1978
8.73,1979
8.98,1980
9.17,1981
8.64,1982
9.03,1983
8.69,1984
8.66,1985
8.83,1986
8.99,1987
9.20,1988
8.92,1989
9.23,1990
9.18,1991
8.84,1992
8.87,1993
9.04,1994
9.35,1995
9.04,1996
9.20,1997
9.52,1998
9.29,1999
9.20,2000
9.41,2001
9.57,2002
9.53,2003
9.32,2004
9.70,2005
9.53,2006
9.73,2007
9.43,2008
9.51,2009
9.70,2010
9.52,2011
9.51,2012
9.61,2013
9.57,2014
9.83,2015
